ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-04-06T00:00:00.000Z,5TDERKEC2RS10L957,2024,Sienna Platinum,Available,False,Factory to port,58906,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,78,Gettel Stadium Toyota,https://www.stadiumtoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Digital Rear View Mirror with Homelink | Mudguards | Paint Protection Film - Hood & Door Package | Platinum Package | Rear Seat Entertainment System- | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
2024-04-10T00:00:00.000Z,5TDERKEC2RS11O627,2024,Sienna Platinum,,False,Factory to port,57015,Celestial Silver Metallic,Nobel Brown Leather,78,Gettel Stadium Toyota,https://www.stadiumtoyota.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Illuminated Door Sills | Mudguards | Paint Protection Film - Hood & Door Package | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-04-14T00:00:00.000Z,5TDERKEC2RS12L870,2024,Sienna Platinum,,False,Factory to port,55194,Blueprint,Nobel Brown Leather,4,Toyota of Orlando,https://www.toyotaoforlando.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Mudguards | Platinum Package | Southeast Toyota Distributor | Temporary Spare Tire
2024-05-07T00:00:00.000Z,5TDERKEC2RS15D360,2024,Sienna Platinum,Available,False,Factory to port,57844,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,89,Toyota of Vero Beach,https://www.verobeachtoyota.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Dashcam | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | SmartLED Ambient Lighting | TOYOGUARD Platinum | Temporary Spare Tire
2024-05-11T00:00:00.000Z,5TDERKEC2RS15D519,2024,Sienna Platinum,Available,False,Factory to port,56338,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,181,AutoNation Toyota Weston,https://www.autonationtoyotaweston.com,True,50 State Emissions | 6-Gallons of Gas | Illuminated Door Sills | Mudguards | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum | Temporary Spare Tire
2024-03-24T00:00:00.000Z,5TDERKEC2RS198004,2024,Sienna Platinum,DealerHold,False,Factory to port,57041,Ruby Flare Pearl [extra_cost_color],Nobel Brown Leather,72,Courtesy Toyota,https://www.courtesytoyota.com,False,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Carpet Floor Mats | Clear Paint Protection - Full Hood Package | Mudguards | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | TOYOGUARD Platinum
2024-03-27T00:00:00.000Z,5TDERKEC2RS198410,2024,Sienna Platinum,DealerHold,False,Factory to port,55489,Wind Chill Pearl [extra_cost_color],Nobel Brown Leather,137,AutoNation Toyota Fort Myers,https://www.autonationtoyotafortmyers.com,False,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Mudguards | Platinum Package | SET Digital Portfolio | SPECIAL COLOR | Temporary Spare Tire
2024-03-27T00:00:00.000Z,5TDERKEC2RS198522,2024,Sienna Platinum,,False,Factory to port,56196,Cypress,Nobel Brown Leather,50,Daytona Toyota,https://www.daytonatoyota.com,False,50 State Emissions | 6-Gallons of Gas | Body Side Molding | Carpet Floor Mats | Mudguards | Phone Cable Charge Package | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum
2024-04-01T00:00:00.000Z,5TDERKEC3RS10L398,2024,Sienna Platinum,Available,False,Factory to port,56641,Predawn Gray Mica,Nobel Brown Leather,78,Gettel Stadium Toyota,https://www.stadiumtoyota.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Mudguards | Paint Protection Film - Hood & Door Package | Platinum Package | SET Digital Portfolio | TOYOGUARD Platinum | Temporary Spare Tire
2024-04-08T00:00:00.000Z,5TDERKEC3RS11N924,2024,Sienna Platinum,Available,False,Factory to port,57812,Predawn Gray Mica,Nobel Brown Leather,106,Gettel Toyota of Bradenton,https://www.getteltoyotaofbradenton.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Digital Rear View Mirror with Homelink | Mudguards | Phone Cable Charge Package | Platinum Package | Rear Seat Entertainment System- | Southeast Toyota Distributor | TOYOGUARD Platinum
